================================================================
CKA readout — geometry similarity, no fitted map, no split
                                   pair: llama (1B vs 3B)
  small: meta-llama/Llama-3.2-1B-Instruct
  large: meta-llama/Llama-3.2-3B-Instruct
  alignment: token; metric: debiased linear CKA on final
  answer-token rows (one per prompt) — well-defined even when the
  DM ridge fit is underdetermined (rows < input dims).
================================================================

Divergent set: 12 prompts
Control set  : 120 prompts

 1B layer | best-CKA (divergent) | best-CKA (control) | gap
 ---------+----------------------+--------------------+-------
    0    |       +nan        |      +nan       | +nan
    1    |       +0.980        |      +0.962       | +0.018
    2    |       +0.960        |      +0.950       | +0.010
    3    |       +0.954        |      +0.945       | +0.009
    4    |       +0.970        |      +0.931       | +0.039
    5    |       +0.943        |      +0.896       | +0.047
    6    |       +0.962        |      +0.937       | +0.025
    7    |       +0.956        |      +0.930       | +0.026
    8    |       +0.959        |      +0.939       | +0.020
    9    |       +0.929        |      +0.944       | -0.015  <== max hallucination-specific gap
   10    |       +0.968        |      +0.949       | +0.019
   11    |       +0.952        |      +0.956       | -0.003
   12    |       +0.975        |      +0.949       | +0.025
   13    |       +0.973        |      +0.949       | +0.024
   14    |       +0.967        |      +0.934       | +0.033
   15    |       +0.953        |      +0.927       | +0.026
   16    |       +0.937        |      +0.883       | +0.054

Largest divergent-minus-control CKA gap at layer 9 (gap -0.015).
