,llama3b_layer_0,llama3b_layer_1,llama3b_layer_2,llama3b_layer_3,llama3b_layer_4,llama3b_layer_5,llama3b_layer_6,llama3b_layer_7,llama3b_layer_8,llama3b_layer_9,llama3b_layer_10,llama3b_layer_11,llama3b_layer_12,llama3b_layer_13,llama3b_layer_14,llama3b_layer_15,llama3b_layer_16,llama3b_layer_17,llama3b_layer_18,llama3b_layer_19,llama3b_layer_20,llama3b_layer_21,llama3b_layer_22,llama3b_layer_23,llama3b_layer_24,llama3b_layer_25,llama3b_layer_26,llama3b_layer_27,llama3b_layer_28
llama1b_layer_0,0.95768803,0.68001527,0.373651,0.37945074,0.3865282,0.39174512,0.3956193,0.40138447,0.40584838,0.40726718,0.40758926,0.40893248,0.41537723,0.41839063,0.4226488,0.43279672,0.44080767,0.44756466,0.4529388,0.45582646,0.46805835,0.4754002,0.4804117,0.48581243,0.49473894,0.5008796,0.5143309,0.53177094,0.6742382
llama1b_layer_1,0.5434573,0.9574171,0.9775638,0.9789705,0.98060113,0.9817719,0.98250353,0.9835143,0.98419094,0.98430246,0.98438364,0.9845399,0.9855721,0.98613185,0.9868102,0.9881816,0.98899364,0.98947585,0.9898258,0.98978144,0.9894458,0.9888585,0.98843706,0.98726666,0.98684853,0.98583686,0.9828817,0.9793565,0.39173603
llama1b_layer_2,0.39595357,0.8851147,0.99996555,0.99986666,0.9996103,0.9992866,0.9990073,0.9985017,0.9979265,0.9976102,0.99747,0.9973425,0.99644756,0.9960248,0.99559563,0.99412024,0.99262476,0.9912322,0.9900722,0.98911995,0.98514223,0.9822472,0.9800093,0.9771519,0.97410387,0.97114265,0.963961,0.9550168,0.24864697
llama1b_layer_3,0.4004416,0.88764685,0.99994665,0.9999268,0.9997595,0.9995014,0.9992774,0.99883735,0.99832743,0.9980339,0.99789387,0.99778104,0.99696183,0.9965841,0.9961888,0.9948245,0.9934208,0.9921,0.99099636,0.99007845,0.98625314,0.983419,0.98126984,0.97849494,0.9755369,0.97266084,0.9656531,0.95690966,0.2547067
llama1b_layer_4,0.4052232,0.89050156,0.99984366,0.9998956,0.9998518,0.99969244,0.9995245,0.9991828,0.99875075,0.99849373,0.9983731,0.9982796,0.99755865,0.9972201,0.99685353,0.99560964,0.9943139,0.9930745,0.99201435,0.9911642,0.9874959,0.984788,0.9827294,0.98002666,0.97714746,0.9743703,0.9676012,0.9590628,0.2617767
llama1b_layer_5,0.4086275,0.89265966,0.99970686,0.99980223,0.9998316,0.99975574,0.9996337,0.99936754,0.9990107,0.9987853,0.998674,0.9985843,0.9979334,0.9976467,0.99729973,0.99613583,0.99490386,0.9937343,0.9927233,0.9918945,0.9883855,0.9857747,0.98374313,0.98114675,0.9783029,0.9755933,0.96894056,0.96055716,0.26690665
llama1b_layer_6,0.41079706,0.8935089,0.99959016,0.9997255,0.9998011,0.9997681,0.999697,0.99948716,0.9991876,0.99900335,0.9989071,0.9988272,0.9982287,0.9979555,0.9976247,0.9965009,0.99531394,0.9941659,0.9931976,0.99239874,0.989002,0.9864156,0.984442,0.98189515,0.97912514,0.9764574,0.96994907,0.96162647,0.27055532
llama1b_layer_7,0.41202033,0.8941344,0.9994835,0.9996313,0.99974406,0.9997366,0.9996838,0.99951607,0.99926174,0.9991023,0.9990324,0.99894917,0.99839693,0.99813855,0.99783003,0.99671847,0.9955732,0.99444526,0.9934825,0.992694,0.9893564,0.98684096,0.98488307,0.9823057,0.97956836,0.9769434,0.9705209,0.9623156,0.2729686
llama1b_layer_8,0.414695,0.8957044,0.9993319,0.9995188,0.9996705,0.9997146,0.999685,0.9995652,0.9993528,0.99922305,0.99916255,0.9991155,0.99862635,0.99838954,0.99809563,0.99704885,0.9959555,0.9948638,0.9939209,0.9931597,0.989912,0.987461,0.985546,0.98308986,0.98037404,0.97778636,0.97143966,0.96338874,0.27662992
llama1b_layer_9,0.41725668,0.8971174,0.99921846,0.9994497,0.9996348,0.99970734,0.9996942,0.99959195,0.99939823,0.999273,0.99921405,0.9991625,0.99872726,0.99851316,0.9982681,0.9973232,0.99625975,0.99523765,0.9943463,0.9936087,0.99042875,0.98801666,0.9861691,0.9837444,0.98114353,0.9786021,0.9723485,0.96438664,0.28021732
