,llama3b_layer_0,llama3b_layer_1,llama3b_layer_2,llama3b_layer_3,llama3b_layer_4,llama3b_layer_5,llama3b_layer_6,llama3b_layer_7,llama3b_layer_8,llama3b_layer_9,llama3b_layer_10,llama3b_layer_11,llama3b_layer_12,llama3b_layer_13,llama3b_layer_14,llama3b_layer_15,llama3b_layer_16,llama3b_layer_17,llama3b_layer_18,llama3b_layer_19,llama3b_layer_20,llama3b_layer_21,llama3b_layer_22,llama3b_layer_23,llama3b_layer_24,llama3b_layer_25,llama3b_layer_26,llama3b_layer_27,llama3b_layer_28
llama1b_layer_0,0.9467965,0.72304165,0.28544262,0.2961456,0.30781764,0.3173941,0.32387045,0.33258438,0.34018734,0.34263128,0.34399,0.3453606,0.35382387,0.3585835,0.36422855,0.38048092,0.39421308,0.40463758,0.41452122,0.42133296,0.4404132,0.4532434,0.4631428,0.47389758,0.48616776,0.4968324,0.5161381,0.53916246,0.7401229
llama1b_layer_1,0.52774876,0.93036604,0.95487046,0.958197,0.96168584,0.96444196,0.9660539,0.9681543,0.96979827,0.9701766,0.9704314,0.9707295,0.97261065,0.9736881,0.97491866,0.97792,0.9796971,0.9808698,0.9818393,0.9820319,0.98211944,0.98112017,0.9802841,0.9790303,0.9774208,0.9757561,0.9709769,0.964742,0.4204046
llama1b_layer_2,0.29562795,0.79847586,0.9999588,0.9997181,0.999152,0.9984423,0.9978373,0.99684536,0.9957851,0.9952615,0.99496174,0.9947295,0.9933078,0.9925766,0.9917484,0.9887294,0.985472,0.9826231,0.97989863,0.97760564,0.97017926,0.9639914,0.9590689,0.95329416,0.94678885,0.9406938,0.92750907,0.9111367,0.20196319
llama1b_layer_3,0.30342427,0.8037048,0.99993044,0.9998622,0.9994772,0.9989095,0.99840903,0.99754775,0.9965981,0.99612,0.99584717,0.9956303,0.9943395,0.99367034,0.99291396,0.9901299,0.98706764,0.9843635,0.98177123,0.97957915,0.9724382,0.966442,0.9616637,0.95605665,0.94972295,0.9437955,0.9309116,0.91489506,0.21093222
llama1b_layer_4,0.31178507,0.8093608,0.9997336,0.9998286,0.9996906,0.9993176,0.9989477,0.99827045,0.99747336,0.99705577,0.99681157,0.9966044,0.9954711,0.9948891,0.99420583,0.991683,0.9888553,0.9863479,0.983897,0.98182124,0.9750419,0.9692909,0.9646997,0.9592886,0.9531833,0.9474082,0.93491894,0.91934013,0.2216809
llama1b_layer_5,0.3176379,0.8135074,0.99947864,0.99967796,0.9996812,0.99949324,0.99920213,0.9986486,0.99797356,0.9976101,0.99738103,0.9971947,0.9961917,0.9956754,0.9950483,0.992693,0.99004114,0.9876343,0.98530847,0.98330444,0.97679716,0.97121906,0.9667584,0.9614894,0.9555242,0.9499028,0.93767226,0.922394,0.2292661
llama1b_layer_6,0.3201408,0.8148818,0.9993088,0.99956346,0.99964225,0.99949074,0.9992929,0.9988282,0.9982346,0.997904,0.99771494,0.9975463,0.9966051,0.99610066,0.9954992,0.99320996,0.9906241,0.98828655,0.9860073,0.98405784,0.9776614,0.9721751,0.96777713,0.96256495,0.9566891,0.95113766,0.93904936,0.92391384,0.23315868
llama1b_layer_7,0.32197088,0.81613445,0.9991605,0.9994516,0.9995835,0.99946815,0.9993044,0.9988946,0.9983665,0.9980771,0.99791366,0.99775827,0.996866,0.996394,0.9957981,0.9935703,0.9910362,0.98874784,0.9864943,0.98459214,0.9782773,0.9728702,0.9685157,0.96338654,0.9575504,0.95204395,0.9401252,0.92509043,0.23606908
llama1b_layer_8,0.32562748,0.8185883,0.9989359,0.999294,0.99949974,0.9994585,0.9993338,0.9989963,0.9985508,0.99828684,0.9981472,0.99802154,0.9972252,0.9967945,0.99624664,0.99411273,0.9916722,0.9894491,0.9872629,0.98539346,0.9792326,0.9739294,0.96963596,0.9645913,0.95883375,0.95343345,0.9416346,0.9267996,0.24043305
llama1b_layer_9,0.32961679,0.82125664,0.99873084,0.99915326,0.99943954,0.9994526,0.99937344,0.99908835,0.9986727,0.99842495,0.99829865,0.9981821,0.99745905,0.9970665,0.9966002,0.9946101,0.99228674,0.99016076,0.98804796,0.9862421,0.9802758,0.9750607,0.97084415,0.96592754,0.96026635,0.95494574,0.9432814,0.9286486,0.24522418
